resource_state,name,distance,moving_time,elapsed_time,total_elevation_gain,type,sport_type,id,start_date,start_date_local,timezone,utc_offset,location_city,location_state,location_country,achievement_count,kudos_count,comment_count,athlete_count,photo_count,trainer,commute,manual,private,visibility,flagged,gear_id,start_latlng,end_latlng,average_speed,max_speed,has_heartrate,average_heartrate,max_heartrate,heartrate_opt_out,display_hide_heartrate_option,elev_high,elev_low,upload_id,upload_id_str,external_id,from_accepted_tag,pr_count,total_photo_count,has_kudoed,athlete.id,athlete.resource_state,map.id,map.summary_polyline,map.resource_state,workout_type,average_cadence,average_temp,average_watts,max_watts,weighted_average_watts,device_watts,kilojoules
2,Caminhada matinal,846.2,616,756,8.0,Walk,Walk,14682316928,2025-06-03T12:03:24Z,2025-06-03T09:03:24Z,(GMT-03:00) America/Sao_Paulo,-10800.0,,,,0,1,0,1,0,False,False,False,False,everyone,False,,"[-15.793039, -47.883171]","[-15.788131, -47.883147]",1.374,5.688,True,94.8,107.0,False,True,1106.4,1091.1,15667793570,15667793570,EF651A69-69CA-4356-878A-7C75C0D7F32A.fit,False,0,0,False,13382559,1,a14682316928,jgk_BlbgcHmAWqAe@wDc@{@U,2,,,,,,,,
2,Corrida FARTLEK,6710.3,2295,2802,64.0,Run,Run,14681240597,2025-06-03T09:30:37Z,2025-06-03T06:30:37Z,(GMT-03:00) America/Sao_Paulo,-10800.0,,,,0,5,0,4,0,False,False,False,False,everyone,False,,"[-15.836667, -48.024777]","[-15.836778, -48.024726]",2.924,4.22,True,150.8,170.0,False,True,1133.2,1101.4,15666652280,15666652280,garmin_ping_445165168572,False,0,0,False,13382559,1,a14681240597,j~s_BprbdHwAmASK}@E{Ba@{@c@[KwEi@_B@{A[kAc@g@Ei@AgAFfA`Ar@z@bA`AVRbAd@bA\pBz@rA\d@HbEz@lHdA\BpAWUNm@NgABm@HMLKZQV]TaA`@k@^_ClC_@n@YPa@H_ADoCYaAE_D]UBYFSLWb@GT?HDPTj@Nh@^~@Xd@Pb@\p@PX@HGZMZGF[Fm@Xe@N]Tb@UdBs@JYF[?SAEcAiBi@qA]eAKk@Eg@@EP[XYZMh@?rE^nBJt@HN?f@If@Qd@s@|@gATUd@]\M|@Up@]RYDUVS`@Gx@Un@Gh@QLMDKDWAQESGMYWo@e@c@W[I`@Lj@Vt@b@LPHPBNE\CJQNYL]HgBL[LOZOTm@j@y@T]RyAbBi@r@[f@WP_AR[Bc@?yCSmBW]CE@\C|@DbFf@^Ar@Kf@Y\s@`AwA`@a@\UVM`AQb@SNQJ]XSrC]LCVOJYBUQp@DBJSDQE_@K[o@i@{Aw@yAaAq@k@[KeAAqB_@UG_@WoAWiBIaAKyAAe@EeCs@SEo@CoABv@l@lBpBf@b@lAn@rDzAb@LbEx@zC`@`@BbAPdAT,2,,83.3,20.0,,,,,
2,Corrida matinal,10158.6,3606,4010,123.0,Run,Run,14629521172,2025-05-29T09:24:13Z,2025-05-29T06:24:13Z,(GMT-03:00) America/Sao_Paulo,-10800.0,,,,0,12,0,6,0,False,False,False,False,everyone,False,,"[-15.837084, -48.024458]","[-15.835866, -48.025155]",2.817,4.375,True,155.8,177.0,False,True,1165.6,1085.6,15610984309,15610984309,garmin_ping_443431115140,False,0,0,False,13382559,1,a14629521172,h`t_BdsbdHk@Wy@e@cA_A[Ew@AkAWV?lAPn@?VLf@`@bB`ArAl@h@ZVXJZDZAXO^e@Ho@HKF_@C[@a@PQNI\]^i@Xe@LMFULs@l@iAjAQVQ`@MnAAzBFlD?~BDfAC|CDnAAv@BjAAt@MlARpAIXgArBOTGP@Bh@PtATJF@PYbAMVm@z@ULo@WUM][aAeAc@[i@g@aAmAYg@oE_ESOw@eAsAqASe@Gq@QSGBCFLVPXpArAz@t@B@H?@CKm@EiAc@eAAITQl@[\ITKj@a@\OlAd@XDT@\GROJc@FINC`@CAGiA}Au@u@{@_Am@{@s@sAo@mBe@oB_@}BIoA@wAH}ABiCA[EEM?[Fq@A[O}@w@W[}@q@QYI_@Im@GWGIc@WQ]QOOUOa@U[s@m@m@][W[KgACuAJeBFWD]LMV@XEL@^AH]x@c@xAMPULABJRGXcA|CKPUHmACs@DSCQKGO?SYQmB{DuBwDa@{@ESFu@?k@S\ECCME_@Ay@JgBz@uE\oAZe@RSTQh@Uj@I`@CzANjBX~@\dD`B`CbBv@RbADXA`AIhGyBv@c@VKfAOd@Ih@SJ@Bd@L|@f@lBD\Gb@BNTZt@h@^L`APvCPTD`@LNPv@jAtA`BxAv@ZBVEnAG~Cd@XJLL~@l@dAZ^V^p@@XQJYJc@p@EVB`ACFEDUAoAo@iAu@QGW@]Ae@Gg@QSAy@S_@UUIOAq@Q[GiAEy@SW@OAo@@c@GkCs@qACy@@}@c@SEoAGKOEa@?y@Fu@A_@QWQEYBiATeA^DNn@bAfAjANJf@@l@E?CMIKYAyCIWYMK?kAZo@T[FEB@FxAxBb@b@VHP@x@Cd@@n@Ll@VRJPPZb@fA`Ax@z@l@b@lAb@pB|@hA\bEz@h@Hb@JtCd@n@PbAPNF?BUDQNOb@_@Z]T_AZ_Ax@z@o@,2,,83.8,18.0,,,,,
2,Corrida matinal,7916.2,2950,3009,72.0,Run,Run,14608743522,2025-05-27T09:37:57Z,2025-05-27T06:37:57Z,(GMT-03:00) America/Sao_Paulo,-10800.0,,,,0,8,0,2,0,False,False,False,False,everyone,False,,"[-15.836531, -48.024817]","[-15.836525, -48.024782]",2.683,4.183,True,145.3,173.0,False,True,1141.0,1113.6,15588726586,15588726586,garmin_ping_442778382958,False,0,0,False,13382559,1,a14608743522,|}s_BfrbdHm@e@SWWKoAMmAWm@Oq@[yA[qAGaBQg@@eAI_@IsAg@mAKaA@A@@FPPz@fAhBfBpCtAjBl@nA^z@PxB\dAXxC`@tBd@v@Dt@GTGOJWFu@@_@Be@LWRM\OR_@XkA\YPq@t@e@n@g@f@g@z@YT]Jc@Fo@AsBYkEc@c@Ag@B]PMRMh@@LVt@AHFZ_@cB@[DKP]ZUZIhBBtAFvBR~@BZ?bAQXO`@o@|AaB^W`@Qf@K^UZUf@s@b@U`@I`@AjAQ\WNWACQr@@Ck@LmAL]?]JOXGT[^o@Xw@V]Ro@j@iApA_@|@QNo@P_@B[?_@AcAOaDUaBSk@?e@PQXIVAd@^nAHh@BGSi@UcAEY?MNe@TUXQv@It@BbBJfAPnAJh@H|@AXGh@_@h@cAp@u@f@c@^WVMb@I`Ai@`@m@VI~Bc@`@MNKKNc@LeBH_@HIFYh@QTWL{@\u@`@UR[Ve@j@gA`BKLi@PWF[@aGm@WG}@G{@AQ@WHWTKPI\@VPt@`@dAc@sAMy@B[PYTUVOXCZ@b@HxBNv@JjCLV?l@KZKTQtAeBp@k@n@]p@Or@c@b@g@VSbA]jAOf@STc@@QAKMY[Yo@e@{Aq@c@WaAu@WOw@C_BWw@Si@[]K_BYgACWIa@EkAAy@Kw@UWKc@KkBCi@@EB@DPJrC~CVRl@ZbA^lB|@`B`@~AXNFxCd@`ATdANp@N,2,,82.8,16.0,,,,,
2,Corrida matinal,5093.2,1753,1753,37.6,Run,Run,14592093948,2025-05-25T11:00:06Z,2025-05-25T08:00:06Z,(GMT-03:00) America/Sao_Paulo,-10800.0,,,,7,6,0,41,0,False,False,False,False,everyone,False,,"[-15.795298, -47.876915]","[-15.79624, -47.877098]",2.905,4.0,True,144.1,172.0,False,True,1082.4,1046.8,15570702353,15570702353,38302EAC-6DDE-4C97-8B0F-6EA9FF8EB6D7.fit,False,4,0,False,13382559,1,a14592093948,dhl_Bj}ecHh@uBf@mCH}@Le@D_@Nk@|AoHXeAX_BPi@XkAXsAh@qBFq@`@uBj@qB^sBr@{CNu@h@oBz@eEZiB\uAFc@h@mBP{@Le@dAyFLg@H}@AIGEaAW_@QYIcBYs@SWKMIEK?IBWVuABYJo@XeA~@kFbA}Dh@mCRiAHWHe@J]PiAACIRIr@}@xDKp@m@|Be@fCa@bBW`B]tAg@pCMj@O`@YtAIn@YrAGh@Kd@_@tAc@nBQj@c@rBMn@S`BMd@Kh@W~@Kp@Sv@Gd@Mr@]vAOjAk@`CO|@Sn@O~@q@~CE`@Qj@Mr@g@nB]vBqAhFu@vDQp@INo@jD[vA,2,,,,180.0,295.0,180.0,True,315.6
2,Hoje foi de 18km…🙏🏾🏃🏾‍♀️💪🏾💖✅,18006.9,6298,6999,92.0,Run,Run,14578972334,2025-05-24T09:35:04Z,2025-05-24T06:35:04Z,(GMT-03:00) America/Sao_Paulo,-10800.0,,,,7,15,1,2,0,False,False,False,False,everyone,False,,"[-15.841381, -48.019486]","[-15.839262, -48.018406]",2.859,8.38,True,152.6,183.0,False,True,1215.8,1135.0,15556581734,15556581734,garmin_ping_441825332953,False,2,1,False,13382559,1,a14578972334,d|t_BxqadHa@We@_AKM]CkE~AYPGNz@lCv@rB|@dDPXTx@bB`Ff@x@b@`CR^?Nz@xDPVJf@`@vCH\Bf@Cf@W|AFREPN`@l@l@Ub@]zAE`@UHK|DLjCHv@OrBI`GI`AWlAs@`CSjACEINg@zBa@f@UDKb@Ud@sDvFk@b@{@~Aq@|@e@z@u@r@wAzByCzDc@v@e@j@I^i@f@Sb@k@h@U\]lA@b@Ef@_@d@GPy@AMDoCpFkAlCC`@Tv@Ab@Q`@e@b@@p@`@`Ap@zBTV^HZ?HLCXQP?Nd@tALr@Xz@~AbEb@xAJPBJI\DBhD}Ap@MrBs@hFcCtBw@~EyBr@_@x@i@t@WbBQfDcAjJaE`B{@lCcAbHyCb@MXQv@]z@Uj@c@~Bw@t@g@bBm@tAy@r@W^Et@a@BEE?GK?KLOjEqBVEn@VrB_Af@a@vAa@fAq@rCkArAq@tCgA~G}CrDuA~JyEhDsAlDaBtEgBfAm@rJkE|BmApF{BpCuAx@UdGgCr@a@dEcBhIyDn@QvAk@lCuAaAj@aBv@e@o@WGOMS@YNb@M^B\VHVCVKZD^ILq@Z[dAMVOFKBb@Sd@a@JYt@}@Sc@LWw@\YHiCjAwE|BmBn@kBfAuCbAoAl@iBn@qB`AoCdA}MrGoElBiDrAqGvCoDrA{HtDmCdAoErBaHrCoF`CaAn@cAXYNLj@eB`AqBr@_Br@m@QYDu@Zk@\eBj@uAx@sA^oBnAcBf@w@d@eBf@OPyF|BoFdC{Ab@gJfE}Bp@YLqBToBl@cFtBgCnAgJzDaAT}CnAE]YOO?i@{@EY[i@[kAOQKc@_@_A[Y]q@Um@S}Aq@eA]gBe@qAOsASUOc@DWJMx@e@b@mAz@{AfCoF`@aABUIc@OSG[HYu@k@]QI[@Q|AuBGOaBiAa@k@kB_Ac@e@O]vAoBx@s@H[h@}@h@c@|@_BbAwAXW~CmEpCuEp@aAp@m@~@cB^[JU^uAZ_BFaAGsAFSDuAJG]mEFm@@uAIoBDOFCDBAUHGn@Dj@Tv@B`B?h@Kb@JZOH_@@a@JKCm@F_BAc@De@CgAc@aEY_Bk@wAUoAi@cBcAwBm@eCYw@QoAy@qBUkAk@yAMs@i@cARC@IVGbAM,2,0.0,82.9,22.0,,,,,
2,Corrida matinal,8015.7,2785,2878,95.0,Run,Run,14559092529,2025-05-22T09:33:47Z,2025-05-22T06:33:47Z,(GMT-03:00) America/Sao_Paulo,-10800.0,,,,0,11,0,4,0,False,False,False,False,everyone,False,,"[-15.836512, -48.024795]","[-15.836978, -48.024643]",2.878,4.217,True,155.1,174.0,False,True,1177.0,1095.2,15535166526,15535166526,garmin_ping_441175860973,False,0,0,False,13382559,1,a14559092529,n}s_Br|bdH_@ZULYD}@`@e@`@{AdBWf@Ml@CpCFvBHh@CdDBh@AhCBpAC`@?bAEbB@\EhAH`@L\APQd@wAbCFJd@P|@DNFFRE^Uf@k@|@Q^YNSCeAiAsBaB]_@SM[a@IU[e@[WUMSSYm@MQs@k@u@a@g@u@eBiBa@m@EGA[@OCKUUOF?Fx@v@b@h@nAhAXPCaA@iAI_@S[SK?CLMv@c@h@QbAe@VFZP`@L^Bb@GT[Ng@?_@Cg@O_@iBoB[g@s@oAg@kAYeAs@kDSyAEe@L{EBqBCWGGKA}@F[CSKuAsAq@e@SSM_@SwAIMWGKIc@g@_@_AY_@[[a@Uy@o@g@GmA@q@Fi@AsADc@HGDKLGXGjAWx@Mh@Ob@OVSDCH@J@TeAjDMX[FeAGs@B_@EKM@[EGSGKOgBcDqA{B{@eBIUCS?_@DkAE@M\CAGUCk@BsAHgAVwAPyA^}A^q@d@g@p@[j@KZAb@?|@Ht@Jf@LZHl@VjDhBd@ZxAjA`AXl@Db@Cl@IzAm@vBs@hAe@|@e@RGLEb@?~A]F??NCD@LLl@Fd@d@pADZEt@?DLP`Ah@n@Pz@J\J~@Hp@Bl@LRFHL^t@f@l@ZZb@r@NLhAf@VDV?lAMtBN`ANPHt@p@VNt@VXLVT\t@?Jo@`@c@r@CP?x@ER?Bz@d@h@^X\Bb@IXEH]PSD}AN]FSJYd@SXy@f@u@X[PqA`Ak@t@m@dAWN[Hi@Dc@Ey@QoBIl@DpDD\C\GNIRUd@u@lAkAx@m@VOXGp@_@NMTi@FG\WVI,2,,84.1,18.0,,,,,
2,Caminhada ao entardecer,1031.5,427,1253,13.8,Walk,Walk,14545074586,2025-05-20T21:20:00Z,2025-05-20T18:20:00Z,(GMT-03:00) America/Sao_Paulo,-10800.0,,,,0,1,0,1,0,False,False,False,False,everyone,False,,"[-15.788697, -47.882592]","[-15.793421, -47.884361]",2.416,6.283,True,79.6,97.0,False,True,1098.3,1083.9,15520104409,15520104409,B33A2934-D29B-4B5F-AE58-48030C408C60.fit,False,0,0,False,13382559,1,a14545074586,ldk_Bp`gcHRMdFpB@\DNzC@Vi@NDHEfAp@BJ,2,,,,,,,,
2,💪🏾💪🏾💪🏾✅💖🙏🏾🏃🏾‍♀️,6648.9,2968,3255,47.0,Run,Run,14537852869,2025-05-20T09:33:39Z,2025-05-20T06:33:39Z,(GMT-03:00) America/Sao_Paulo,-10800.0,,,,0,8,0,5,0,False,False,False,False,everyone,False,,"[-15.836587, -48.024884]","[-15.837099, -48.024477]",2.24,4.5,True,134.3,159.0,False,True,1142.8,1114.6,15512444808,15512444808,garmin_ping_440516743035,False,0,0,False,13382559,1,a14537852869,|}s_Bl|bdHWV_@P[FYJ]RsBjBa@h@_@n@]Pw@Lc@@sEg@wAKCC?BbAFp@@x@HvAF^D^?h@E^MVSP_@\[`@o@Z[n@g@^Qh@Oz@i@d@m@b@SvAQj@MVOAA@HCC@BWHaBLc@LOF]t@WX[P}@Rs@f@eBlBe@z@SRSHQDo@FY@YAg@KoBOi@Aw@Ki@K@C?B@A^?d@BfBPv@@pAJd@?x@SRM`@y@n@_AlAiAfBm@ROf@q@VO`@KdAE\Gl@M@@CABAAEF?E@@CMH]HkBJ]LIJ[n@QX[Nk@Rs@^q@l@cAfA@?KTa@p@]Rg@Jo@D]Eq@?qBQ]Gs@E_AM\An@Bl@ArANvBPf@A\G\KVSRa@PYADBBpA{A|@q@|@_@XSZY^g@\Mh@Gj@Cf@E^MF?ACKDk@Ni@FaAEu@IcBYSAkBa@WCw@SoAWmCu@eDwA}A{@{@}@[g@QSo@i@}@i@oA]m@GGEEYAeABnAFJHFxATZJl@b@X\r@j@hAlA^Z~FbCjA`@fDp@bANr@P~@HxB`@vANxAKLGNSDS?YIYcAs@y@a@KAND,2,0.0,83.2,18.0,,,,,
2,Corrida matinal,11014.2,4045,4123,92.0,Run,Run,14507629156,2025-05-17T10:09:37Z,2025-05-17T07:09:37Z,(GMT-03:00) America/Sao_Paulo,-10800.0,,,,0,10,0,1,0,False,False,False,False,everyone,False,,"[-15.839017, -48.003326]","[-15.840158, -48.002864]",2.723,3.738,True,160.1,188.0,False,True,1126.4,1074.8,15478608632,15478608632,garmin_ping_439563096170,False,0,0,False,13382559,1,a14507629156,jnt_Bt~~cHVz@fArC~@vC^jBI`AJLPLb@p@b@d@Nt@bBfFp@bCf@|ATh@r@fCc@wA}@wBW}@w@{By@uCy@kCK[UQ_@q@OMOUF_@?_@U{@Ou@eBqFk@wAOk@DOPY?QAY[gBHaADOz@g@v@_@F@?FI?g@RYPk@d@SJ{@ZW@a@GiA^YFuBv@kAf@KJGXoCx@s@XwAt@_@ZMn@SN_@HMKg@M}@Dy@Xw@L_Ah@cAPYLk@^YHODc@?_@B}DvAiChA_A\WPWZSFo@DsAl@gBh@yA`AeDxAo@E_@DYFoAb@{@VWDU@YHq@Tm@Xm@j@m@VWDw@Pi@HgAX}@RgBp@u@Tu@\aAR_Cx@eARiC|@{An@aCr@qCjAc@x@To@VSpCoA^If@UzAa@|@_@bA[r@[fAUp@SbAa@x@MbAg@bFeBv@KxCm@f@]\[NKpBw@d@EZI~Ao@j@Md@E\DTNR^VjAx@nCd@fBBVWt@MJgBj@WV]BAH?@LA^g@FEv@I~@_@TOL@DH\vAb@d@b@vANr@`@jAr@dAb@dAhApDJ|Af@dBZ|@J^E@IIe@}@e@uBSqAQq@iBeF_@g@Q_@S}@e@yAI]{@uBKOQDgBl@i@V_@D@DFBFC\e@VOrAg@HIT]J]G_@eAoCw@qCKWUY@IRId@OzBeAZOt@k@dCy@j@WhAQPI\a@VMv@WzAw@vAe@dC_AZIx@?XMn@a@VKXIh@IPIVSVK|Bi@`A?JBb@TJC\WHc@JQl@e@dBw@~CeAFEBSPOnBq@jAc@XE~@c@RCLFNDp@YVGVIj@a@\Op@Un@YzAc@hBq@dAi@nA]l@Uz@YtBe@`Bq@hC_A|@KfCOVn@@H?ZnAtDXhAJVKKw@mB]mAc@wAC_@Wg@uA\yAJ{Ad@_@D[JgBn@,2,,83.0,18.0,,,,,
